NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
Quality Care Pharmacy,Federal Allocation,,,Wylie,Collin,2300 West Fm 544 Suite 130,75098,05/03/2021      ,18:29:27        ,0,200,0,10,102,302,10,,
CVS PHARMACY 4932,Federal Allocation,,,Plano,Collin,5920 W. Park Blvd.,75093,05/03/2021      ,00:00:00        ,0,100,0,0,0,100,0,,
Walmart Pharmacy 7178,Federal Allocation,,701 W Princeton Dr,Princeton,Collin,701 W Princeton Dr,75407,05/03/2021      ,00:00:00        ,0,34,0,0,17,51,0,,
Walmart Pharmacy 6966,Federal Allocation,,3400 Virginia Pkwy,Mckinney,Collin,3400 Virginia Pkwy,75071,05/03/2021      ,00:00:00        ,0,70,0,0,0,70,0,,
Walmart Pharmacy 3482,Federal Allocation,,,Plano,Collin,425 Coit Rd,75075,05/03/2021      ,00:00:00        ,0,105,0,0,0,105,0,,
Walmart Pharmacy 2973,Federal Allocation,,115 W Fm 544,Murphy,Collin,115 W Fm 544,75094,05/03/2021      ,00:00:00        ,0,43,0,0,86,129,0,,
Walmart Pharmacy 2926,Federal Allocation,,6000 Coit Rd,Plano,Collin,6000 Coit Rd,75023,05/03/2021      ,00:00:00        ,0,40,0,0,0,40,0,,
Walmart Pharmacy 2918,Federal Allocation,,730 W Exchange Pkwy,Allen,Collin,730 W Exchange Pkwy,75013,05/03/2021      ,00:00:00        ,0,0,0,0,650,650,0,,
Walmart Pharmacy 2086,Federal Allocation,,1700 Dallas Pkwy,Plano,Collin,1700 Dallas Pkwy,75093,05/03/2021      ,00:00:00        ,0,41,0,0,83,124,0,,
Walmart Pharmacy 202,Federal Allocation,,16066 State Hwy 121,Frisco,Collin,16066 State Hwy 121,75035,05/03/2021      ,00:00:00        ,0,0,0,0,641,641,0,,
Walmart Pharmacy  2463,Federal Allocation,,355 Stonebrook Pkwy,Frisco,Collin,355 Stonebrook Pkwy,75034,05/03/2021      ,00:00:00        ,0,36,0,0,18,54,0,,
Sams Club Pharmacy 6255,Federal Allocation,,8621 Ohio Dr,Plano,Collin,8621 Ohio Dr,75024,05/03/2021      ,00:00:00        ,0,50,0,0,0,50,0,,
Walmart Pharmacy 5311,Federal Allocation,,1721 N Custer Rd,Mckinney,Collin,1721 N CUSTER RD MCKINNEY 75071,75071,05/03/2021      ,00:00:00        ,0,28,0,0,28,56,0,,
Walmart Pharmacy 6300,Federal Allocation,,500 Richland Boulevard,Prosper,Collin,500 Richland Blvd Prosper 75078,75078,05/03/2021      ,00:00:00        ,0,26,0,0,13,39,0,,
CVS PHARMACY 2876,Federal Allocation,,201 S. Preston Rd.,Prosper,Collin,201 S Preston Rd Prosper 75078,75078,05/03/2021      ,00:00:00        ,0,0,0,0,149,149,0,,
Walmart Pharmacy 4182,Federal Allocation,,3312 Preston Road,Plano,Collin,3312 PRESTON RD PLANO 75093,75093,05/03/2021      ,00:00:00        ,0,0,0,0,120,120,0,,
Walmart Pharmacy 2995,Federal Allocation,,,Plano,Collin,8040 Independence Pkwy,75025,05/03/2021      ,00:00:00        ,0,70,0,0,0,70,0,,
Sams Club Pharmacy 8299,Federal Allocation,,,Plano,Collin,301 Coit Road,75075,05/03/2021      ,00:00:00        ,0,139,0,0,0,139,0,,
Sams Club Pharmacy 4743,Federal Allocation,,E Spring Creek Pkwy,Plano,Collin,1200 E Spring Creek Pkwy,75074,05/03/2021      ,00:00:00        ,0,0,0,0,266,266,0,,
COSTCO PHARMACY 664,Federal Allocation,,3800 Cenral Expressway,East Plano,Collin,3800 Cenral Expressway,75074,05/03/2021      ,00:00:00        ,0,22,0,14,74,96,14,,
Walmart Pharmacy 6078,Federal Allocation,,1400 Mccreary Rd,Wylie,Collin,1400 MCCREARY RD Wylie 75098,75098,05/03/2021      ,00:00:00        ,0,60,0,0,0,60,0,,
Walmart Pharmacy 3199,Federal Allocation,,3513 E Park Blvd,Plano,Collin,3513 E PARK BLVD PLANO 75074,75074,05/03/2021      ,00:00:00        ,0,140,0,0,0,140,0,,
Sams Club Pharmacy 4906,Federal Allocation,,1670 W University Dr,Mckinney,Collin,1670 W University Dr McKinney 75069,75069,05/03/2021      ,00:00:00        ,0,194,0,15,0,194,15,,
Walmart Pharmacy 206,Federal Allocation,,2041 REDBUD BLVD,MCKINNEY,Collin,2041 REDBUD BLVD,75069,05/03/2021      ,00:00:00        ,0,0,0,0,650,650,0,,
Dyer Drug Store fed,Federal Allocation,,Mckinney Street,Farmersville,Collin,133 Mckinney Street,75442,05/03/2021      ,00:00:00        ,0,499,0,230,0,499,230,,
CVS PHARMACY 3200,Federal Allocation,,2140 Hedgcoxe Rd.,Plano,Collin,2140 Hedgcoxe Rd Plano 75025,75025,05/03/2021      ,00:00:00        ,621,0,232,0,0,621,232,,
CVS Pharmacy 10673,Federal Allocation,,Sam Rayburn Hwy,,Melissa,Collin,2600 Sam Rayburn Hwy,,75454,05/03/2021      ,00:00:00        ,1064,0,374,0,0,1064,374,,
CVS Pharmacy 10581,Federal Allocation,,Eldorado Pkwy.,Frisco,Collin,12740 Eldorado Pkwy.,75035,05/03/2021      ,00:00:00        ,526,0,212,0,0,526,212,,
COSTCO PHARMACY 684,Federal Allocation,,Dallas Parkway,Plano,Collin,1701 Dallas Parkway,75093,05/03/2021      ,00:00:00        ,96,16,42,7,23,135,49,,
Infinity Pharmacy Solutions llc,Federal Allocation,,3313 Essex Dr ,Richardson,Collin,3313 Essex Dr #200,75082,05/03/2021      ,09:46:11        ,0,0,0,0,75,75,0,,
CVS PHARMACY 5380,Federal Allocation,,8953 Virginia Pkwy.,Mckinney,Collin,8953 Virginia Pkwy McKinney 75071,75071,05/03/2021      ,00:00:00        ,639,0,235,0,0,639,235,,
